recid	reit	smrt	tog_nr	dag	man	dyp_min	dyp_max	vf	nr	le	ky	kt	aldur	osl	sl	li
100108	620	1	2	12	03	187	179	73	11	41	2	1	3	691	562	34
100108	620	1	2	12	03	187	179	73	12	78	2	2	6	4124	3282	345
100108	620	1	2	12	03	187	179	73	13	64	2	1	5	2359	1975	130
100108	620	1	2	12	03	187	179	73	14	62	2	4	5	1918	1622	150
100108	620	1	2	12	03	187	179	73	15	54	2	1	5	1328	1108	124
100108	620	1	2	12	03	187	179	73	16	52	2	2	4	1519	1167	115
100108	620	1	2	12	03	187	179	73	17	54	1	1	5	1495	1243	69
100108	620	1	2	12	03	187	179	73	18	66	1	1	6	2634	2251	136
100108	620	1	2	12	03	187	179	73	19	46	2	1	4	944	755	60
100108	620	1	2	12	03	187	179	73	2	56	2	1	5	1718	1430	112
100108	620	1	2	12	03	187	179	73	20	40	1	1	3	603	480	29
100108	620	1	2	12	03	187	179	73	21	69	1	1	5	2691	2395	100
100108	620	1	2	12	03	187	179	73	22	74	2	4	6	3860	3262	142
100108	620	1	2	12	03	187	179	73	23	45	2	1	3	905	706	55
100108	620	1	2	12	03	187	179	73	24	44	2	1	3	843	685	50
100108	620	1	2	12	03	187	179	73	25	62	1	1	5	2111	1757	93
100108	620	1	2	12	03	187	179	73	3	51	2	1	4	1134	947	56
100108	620	1	2	12	03	187	179	73	4	65	1	1	6	2244	1986	70
100108	620	1	2	12	03	187	179	73	5	76	2	2	6	3920	3048	234
100108	620	1	2	12	03	187	179	73	6	66	2	1	5	2627	2140	124
100108	620	1	2	12	03	187	179	73	8	65	2	4	6	2362	2002	107
100108	620	1	2	12	03	187	179	73	9	54	1	1	4	1479	1239	86
100111	621	2	4	12	03	132	113	73	1	75	2	2	6	4374	3210	199
100111	621	2	4	12	03	132	113	73	2	39	2	1	3	605	514	24
100111	621	2	4	12	03	132	113	73	3	45	2	1	3	751	672	20
100111	621	2	4	12	03	132	113	73	4	51	1	1	5	1440	1107	57
100111	621	2	4	12	03	132	113	73	5	82	1	2	8	5630	4144	456
100111	621	2	4	12	03	132	113	73	7	36	1	1	3	414	374	17
100111	621	2	4	12	03	132	113	73	8	55	2	2	5	1716	1282	145
100112	619	1	2	11	03	198	212	73	1	36	1	1	3	483	378	25
100112	619	1	2	11	03	198	212	73	2	37	2	1	3	433	393	23
100112	619	1	2	11	03	198	212	73	3	48	1	1	4	1016	911	39
100112	619	1	2	11	03	198	212	73	4	67	1	2	7	3086	2408	209
100112	619	1	2	11	03	198	212	73	5	52	1	1	4	1186	1040	61
100113	670	3	15	12	03	331	300	73	1	70	2	1	5	2878	2426	239
100113	670	3	15	12	03	331	300	73	2	63	1	1	5	2338	1960	153
100113	670	3	15	12	03	331	300	73	3	63	1	1	5	2212	1859	217
100113	670	3	15	12	03	331	300	73	4	62	1	1	5	2082	1755	183
100113	670	3	15	12	03	331	300	73	5	27	1	1	2	158	136	6
100113	670	3	15	12	03	331	300	73	6	24	1	1	2	108	94	2
100113	670	3	15	12	03	331	300	73	7	58	1	1	5	1532	1346	87
100113	670	3	15	12	03	331	300	73	8	59	2	1	5	1922	1643	84
100113	670	3	15	12	03	331	300	73	9	27	2	1	2	179	153	7
100114	621	2	11	12	03	150	146	73	1	70	2	2	6	2865	2353	220
100114	621	2	11	12	03	150	146	73	10	37	1	1	3	528	434	15
100114	621	2	11	12	03	150	146	73	11	42	2	1	4	760	634	38
100114	621	2	11	12	03	150	146	73	12	47	2	1	4	900	777	22
100114	621	2	11	12	03	150	146	73	13	59	1	1	5	1869	1577	90
100114	621	2	11	12	03	150	146	73	14	62	1	1	5	1772	1577	54
100114	621	2	11	12	03	150	146	73	15	58	2	1	6	1987	1722	62
100114	621	2	11	12	03	150	146	73	16	45	1	1	4	874	760	17
100114	621	2	11	12	03	150	146	73	17	34	1	1	3	408	324	15
100114	621	2	11	12	03	150	146	73	18	49	2	1	4	1211	1008	74
100114	621	2	11	12	03	150	146	73	19	47	1	2	4	1010	858	29
100114	621	2	11	12	03	150	146	73	2	67	2	4	6	2636	2129	72
100114	621	2	11	12	03	150	146	73	20	65	1	2	6	3000	2274	139
100114	621	2	11	12	03	150	146	73	21	52	2	1	5	1260	1035	25
100114	621	2	11	12	03	150	146	73	22	55	2	1	6	1217	1033	90
100114	621	2	11	12	03	150	146	73	23	61	1	2	5	2209	1670	89
100114	621	2	11	12	03	150	146	73	24	75	2	4	10	3996	3592	164
100114	621	2	11	12	03	150	146	73	25	75	2	2	6	4344	3224	261
100114	621	2	11	12	03	150	146	73	3	67	1	1	5	3042	2404	174
100114	621	2	11	12	03	150	146	73	4	55	2	4	5	1694	1372	53
100114	621	2	11	12	03	150	146	73	5	65	2	2	6	2561	2007	201
100114	621	2	11	12	03	150	146	73	6	54	1	2	5	1657	1256	152
100114	621	2	11	12	03	150	146	73	7	40	2	1	3	590	440	25
100116	621	2	12	12	03	137	77	73	1	80	2	2	8	5480	4008	138
100116	621	2	12	12	03	137	77	73	2	58	1	1	6	1776	1469	120
100116	621	2	12	12	03	137	77	73	3	91	2	1	10	7135	5218	-1
100116	621	2	12	12	03	137	77	73	5	50	2	1	4	1434	945	59
100116	621	2	12	12	03	137	77	73	6	37	1	1	3	475	413	10
100116	621	2	12	12	03	137	77	73	7	65	2	1	5	2582	2172	163
100116	621	2	12	12	03	137	77	73	8	82	2	2	7	5512	4258	603
100116	621	2	12	12	03	137	77	73	9	54	1	1	5	1494	1264	57
100121	621	2	2	12	03	181	174	73	1	66	1	2	5	2535	2187	97
100121	621	2	2	12	03	181	174	73	2	57	1	2	5	1943	1505	131
100121	621	2	2	12	03	181	174	73	3	64	1	1	5	2357	2053	74
100121	621	2	2	12	03	181	174	73	4	45	1	1	4	821	719	42
100121	621	2	2	12	03	181	174	73	5	67	2	1	6	2495	2142	18
100122	621	2	1	12	03	170	188	73	1	45	2	1	4	874	745	46
100122	621	2	1	12	03	170	188	73	2	33	1	1	3	340	288	16
100122	621	2	1	12	03	170	188	73	3	41	1	1	3	738	591	40
100122	621	2	1	12	03	170	188	73	4	75	2	2	6	3768	3286	172
100122	621	2	1	12	03	170	188	73	5	56	1	1	5	1598	1287	77
