le	freq
7	2
8	26
9	127
10	369
11	595
12	639
13	528
14	294
15	102
16	40
17	55
18	87
19	153
20	256
21	416
22	574
23	634
24	777
25	741
26	680
27	662
28	540
29	567
30	574
31	713
32	813
33	817
34	936
35	957
36	888
37	882
38	809
39	722
40	727
41	648
42	650
43	671
44	634
45	624
46	602
47	623
48	601
49	651
50	732
51	769
52	854
53	959
54	872
55	971
56	1146
57	1144
58	1158
59	1145
60	1171
61	1141
62	1249
63	1237
64	1178
65	1101
66	1120
67	983
68	972
69	926
70	858
71	809
72	754
73	693
74	568
75	608
76	495
77	439
78	368
79	379
80	263
81	233
82	203
83	160
84	177
85	186
86	121
87	116
88	86
89	70
90	56
91	54
92	57
93	44
94	33
95	33
96	30
97	29
98	31
99	20
100	26
101	14
102	17
103	25
104	15
105	23
106	16
107	13
108	7
109	11
110	6
111	10
112	5
113	6
114	4
115	7
116	3
117	5
118	8
119	3
120	2
121	1
122	1
123	1
124	4
125	2
126	3
127	2
130	4
