y R S B4+ F Y
1955 152 932 2349 0.29 545
1956 153 787 2074 0.29 487
1957 171 767 1872 0.31 455
1958 221 868 1860 0.36 517
1959 289 847 1823 0.32 459
1960 154 706 1751 0.37 470
1961 193 466 1494 0.36 377
1962 129 567 1491 0.38 389
1963 177 506 1314 0.46 409
1964 204 450 1218 0.55 437
1965 216 317 1022 0.58 387
1966 229 277 1031 0.59 353
1967 320 256 1102 0.56 336
1968 172 221 1223 0.72 382
1969 248 314 1326 0.56 403
1970 181 331 1337 0.61 475
1971 189 242 1098 0.68 444
1972 139 222 997 0.69 395
1973 273 245 844 0.71 369
1974 179 187 918 0.76 368
1975 261 168 895 0.81 365
1976 368 138 955 0.75 346
1977 143 198 1289 0.59 340
1978 228 212 1298 0.48 330
1979 243 304 1397 0.45 366
1980 140 356 1489 0.49 432
1981 140 264 1242 0.66 465
1982 132 167 970 0.73 380
1983 233 130 790 0.72 298
1984 139 141 914 0.64 282
1985 140 172 928 0.67 323
1986 330 198 854 0.78 365
1987 261 149 1031 0.86 390
1988 176 172 1033 0.89 378
1989 89 171 1004 0.72 363
1990 130 214 842 0.70 335
1991 107 161 698 0.80 308
1992 175 152 550 0.85 265
1993 135 124 595 0.87 251
1994 77 154 576 0.63 178
1995 151 179 557 0.51 169
1996 165 159 670 0.51 181
1997 88 190 782 0.55 203
1998 161 211 720 0.65 244
1999 71 184 730 0.75 260
2000 172 167 589 0.76 235
2001 161 161 687 0.75 234
2002 159 197 728 0.63 208
2003 179 186 739 0.58 208
2004 80 202 799 0.58 227
2005 156 231 722 0.55 213
2006 134 221 701 0.54 196
2007 91 204 680 0.51 170
2008 133 267 695 0.39 146
2009 123 254 794 0.38 181
2010 129 298 840 0.33 169
2011 168 362 969 NA NA
