      YSV USV   YS   US   YSE   USE  YTOT  UTOT
1970 1517 35.9  916  34.7 1593  51.1 4026  40.2
1971 1393 46.9 1446  43.0 1818  55.5 4657  48.4
1972 1500 36.8 1370  35.9 1451  40.8 4321  37.7
1973 1130 30.9  535  31.7 1126  31.9 2791  31.3
1974  408 32.0  492  32.2 1083  48.5 1983  39.4
1975  527 33.6  717  35.6 1113  43.9 2357  38.5
1976  817 32.4  608  31.5 1355  42.1 2780  36.2
1977  571 27.5  663  32.8 1489  42.5 2723  35.7
1978  395 31.2  290  28.6 1374  47.9 2059  40.0
1979  700 33.9  445  32.8  295  34.2 1440  33.6
1980  734 43.8  540  34.4 1124  55.5 2398  45.5
1981  398 44.0  627  44.1 1495  58.8 2520  51.8
1982  640 44.0  509  42.8 1454  60.2 2603  51.5
1983  572 42.5  710  45.8 1390  51.6 2672  47.8
1984  422 36.1  722  47.9 1315  48.5 2459  45.6
1985  522 46.9  583  57.1 1280  60.8 2385  56.4
1986  495 49.0  454  56.2 1615  68.2 2564  61.3
1987  615 43.5  599  57.4 1498  55.6 2712  52.6
1988  625 39.3  965  42.7  650  36.8 2240  39.9
1989  394 32.8  645  35.7  827  38.0 1866  36.0
1990  217 29.3  304  29.0 1171  48.1 1692  40.0
1991  374 35.0  361  29.0 1422  51.0 2157  42.1
1992  400 40.8  414  40.0 1417  60.5 2230  51.3
1993  446 42.1  435  38.3 1500  61.6 2381  51.4
1994  539 30.8  493  35.4 1205  43.8 2238  38.0
1995  510 26.0  325  28.0  192  26.0 1027  27.0
1996  514 30.0  721  37.8  398  39.2 1633  35.2
1997  371 25.2  533  30.5  324  46.2 1228  31.3
1998  145 22.2  746  39.1  520  49.0 1411  38.9
1999  131 25.5  669  38.2  576  47.9 1376  39.7
2000  107 25.8  454  38.2  678  64.3 1239  46.6
2001  258 26.6  296  29.2  866  73.5 1420  44.9
2002  288 25.6  265  29.9  995  64.8 1548  43.7
2003  133 30.5  357  32.9 1176  69.9 1666  52.0
2004  126 16.8  341  25.9  970  58.4 1437  38.5
2005  218 30.6  953  48.2  860  46.9 2030  44.9
2006  316 47.6  490  46.4 1069  93.7 1875  65.5
2007 1200 93.0   53  59.1  753 111.5 2006  97.6
2008  599 87.5  477 102.8  994 144.5 2070 112.7
2009 1130 70.0  472  99.8  862  86.9 2464  80.0
2010 1173 71.8  652  71.5  715  81.0 2540  74.1
